Time:325,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 1,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 2,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 3,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 4,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 5,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 6,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 7,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 8,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 9,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 1,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108,Feature 109,Feature 11,Feature 111,Feature 112,Feature 113,Feature 114,Feature 115,Feature 116,Feature 117,Feature 118,Feature 119,Feature 12,Feature 121,Feature 122,Feature 123,Feature 124,Feature 125,Feature 126,Feature 127,Feature 128,Feature 129,Feature 13,Feature 131,Feature 132,Feature 133,Feature 134,Feature 135,Feature 136,Feature 137,Feature 138,Feature 139,Feature 14,Feature 141,Feature 142,Feature 143,Feature 144,Feature 145,Feature 146,Feature 147,Feature 148,Feature 149,Feature 15,Feature 151,Feature 152,Feature 153,Feature 154,Feature 155,Feature 156,Feature 157,Feature 158,Feature 159,Feature 16,Feature 161,Feature 162,Feature 163,Feature 164,Feature 165,Feature 166,Feature 167,Feature 168,Feature 169,Feature 17,Feature 171,Feature 172,Feature 173,Feature 174,Feature 175,Feature 176,Feature 177,Feature 178,Feature 179,Feature 18,Feature 181,Feature 182,Feature 183,Feature 184,Feature 185,Feature 186,Feature 187,Feature 188,Feature 189,Feature 19,Feature 191,Feature 192,Feature 193,Feature 194,Feature 195,Feature 196,Feature 197,Feature 198,Feature 199,Feature 2,Feature 201,Feature 202,Feature 203,Feature 204,Feature 205,Feature 206,Feature 207,Feature 208,Feature 209,Feature 21,Feature 211,Feature 212,Feature 213,Feature 214,Feature 215,Feature 216,Feature 217,Feature 218,Feature 219,Feature 22,Feature 221,Feature 222,Feature 223,Feature 224,Feature 225,Feature 226,Feature 227,Feature 228,Feature 229,Feature 23,Feature 231,Feature 232,Feature 233,Feature 234,Feature 235,Feature 236,Feature 237,Feature 238,Feature 239,Feature 24,Feature 241,Feature 242,Feature 243,Feature 244,Feature 245,Feature 246,Feature 247,Feature 248,Feature 249,Feature 25,Feature 251,Feature 252,Feature 253,Feature 254,Feature 255,Feature 256,Feature 257,Feature 258,Feature 259,Feature 26,Feature 261,Feature 262,Feature 263,Feature 264,Feature 265,Feature 266,Feature 267,Feature 268,Feature 269,Feature 27,Feature 271,Feature 272,Feature 273,Feature 274,Feature 275,Feature 276,Feature 277,Feature 278,Feature 279,Feature 28,Feature 281,Feature 282,Feature 283,Feature 284,Feature 285,Feature 286,Feature 287,Feature 288,Feature 289,Feature 29,Feature 291,Feature 292,Feature 293,Feature 294,Feature 295,Feature 296,Feature 297,Feature 298,Feature 299,Feature 3,Feature 301,Feature 302,Feature 303,Feature 304,Feature 305,Feature 306,Feature 307,Feature 308,Feature 309,Feature 31,Feature 311,Feature 312,Feature 313,Feature 314,Feature 315,Feature 316,Feature 317,Feature 318,Feature 319,Feature 32,Feature 321,Feature 322,Feature 323,Feature 324,Feature 325,Event Id,Event Date,Event Duration
0.000000,0.062500, 0, 0,-2, 2,-2, 0,-2,-2,-2, 0,-2, 0, 2,-2, 2, 2, 0,-2, 2,-2,-2,-2,-2, 0,-2, 0, 0, 0, 2,-2, 0, 2, 0,-2, 0,-2,-2, 0,-2, 0,-2,-2, 2,-2, 0,-2, 2, 0,-2,-2, 0,-2, 0, 0, 2, 2, 2,-2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0,-2,-2, 2, 0,-2, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0, 0,-2, 2, 2, 0,-2, 0, 2,-2,-2, 0, 2, 2, 2,-2, 0, 0, 2, 2,-2, 2, 0,-2,-2, 0, 2, 2, 0, 0, 0,-2, 0, 0, 0, 0,-2, 0, 2, 2, 0,-2, 0,-2, 0, 2, 0, 0, 0, 2,-2, 0,-2, 0, 0, 2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2, 0,-2, 0,-2, 0,-2, 0,-2,-2, 0, 0,-2,-2, 0,-2,-2,-2, 0,-2,-2, 0,-2,-2,-2,-2, 0,-2, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2, 0, 2,-2,-2,-2, 0, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2, 0, 0, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2, 0,-2, 2,-2, 0,-2, 0,-2, 0, 0, 0, 0,-2, 0, 2, 2,-2, 0, 2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2, 2,-2,-2,-2, 0,-2, 0, 0,-2, 0,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,,,
0.062500,0.125000, 2,-2, 0, 2,-2, 0, 0,-2, 0,-2,-2,-2, 2, 0, 2, 2,-2,-2, 2,-2,-2,-2,-2,-2,-2, 0,-2,-2, 2,-2, 0, 2, 0, 0,-2,-2,-2, 0,-2, 0, 2,-2, 2, 0, 0, 0, 2, 0,-2,-2,-2,-2, 0, 0, 0, 2, 2,-2, 2, 0, 2, 0, 2,-2,-2,-2, 2,-2,-2, 0, 2, 0,-2, 0, 0,-2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 2,-2, 2, 0, 0, 0, 0, 2,-2,-2, 0, 2, 2, 2, 0, 2,-2, 2, 0,-2, 2, 0,-2,-2, 0, 2, 2,-2, 2,-2, 0, 2, 2, 2, 2, 0,-2, 2, 2, 2, 0, 2,-2, 0, 0,-2, 0, 0, 0,-2, 2,-2, 0, 2, 0,-2, 0,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0, 0,-2, 0,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0,-2,-2, 0,-2,-2,-2,-2,-2, 0,-2, 0,-2, 0,-2, 0, 0,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2, 0,-2, 0,-2, 0, 0,-2, 0, 0, 2, 0, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,,,
0.125000,0.187500,-2,-2, 0, 0,-2, 2,-2,-2, 0, 0, 0,-2, 2, 2, 2, 0, 0,-2, 2, 0,-2, 2, 0,-2, 0,-2, 2, 0, 2,-2, 0, 2,-2,-2,-2,-2, 0, 2,-2, 0,-2, 0, 0,-2,-2, 0, 2,-2, 0,-2,-2,-2, 0, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2,-2,-2, 0,-2, 0, 2, 0, 0,-2, 0, 0, 0, 0,-2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0,-2,-2,-2,-2, 0,-2,-2,-2,-2, 0, 2,-2,-2, 2, 2, 2, 0, 2, 0, 0,-2, 0, 2,-2,-2,-2,-2, 2, 0,-2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0,-2, 0, 0,-2,-2, 2, 2, 0, 0, 0, 0,-2,-2,-2,-2,-2,-2, 0, 0,-2, 0, 0,-2, 0,-2,-2, 0, 2,-2,-2,-2,-2, 2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2, 0, 0,-2,-2,-2, 0, 0,-2,-2, 0, 0,-2,-2, 0,-2,-2,-2,-2, 0,-2,-2,-2,-2, 2, 0,-2, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2, 2, 0,-2, 0,-2, 0,-2,-2,-2, 0,-2, 0, 0,-2,-2, 0,-2, 0, 0, 0, 0,-2, 0, 0,-2, 0, 2, 0, 0, 0,-2, 0, 0, 0,-2,-2,-2, 0,-2, 2,-2, 2,-2,-2,-2, 0, 2, 2, 0, 2, 2, 0,-2, 0, 2,-2, 0,-2,-2, 0,-2, 0,-2,-2, 0, 0,-2,-2,-2, 0, 0,-2,-2,-2,-2, 0, 0,-2,-2, 0, 0, 0,-2, 2, 0, 0,-2, 2,-2, 0,-2,-2, 0, 0,-2,-2, 2, 0,-2, 0,-2,-2,-2,-2,-2, 2,,,
0.187500,0.250000, 0, 0, 0, 0,-2,-2, 0,-2,-2, 0,-2, 0, 0, 0,-2,-2,-2,-2, 2,-2, 0, 2,-2,-2,-2, 2,-2,-2, 0,-2, 2,-2,-2, 0, 0,-2,-2, 0,-2, 2, 0,-2,-2,-2, 2,-2, 2,-2, 0, 0, 0,-2, 0,-2, 2, 2,-2, 2, 0,-2, 0, 2, 0, 0,-2, 0, 2, 0,-2, 2, 2, 2,-2, 0, 0, 0, 2, 0,-2, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2,-2, 2,-2,-2, 2,-2, 0, 2, 2, 2, 2, 2, 2,-2,-2, 2, 2, 2, 2, 2, 2, 0,-2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2,-2, 0, 2,-2, 2, 0,-2,-2, 2, 2, 0, 0, 2, 0, 0, 0,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0, 0, 0,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2, 0, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0, 0,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,-2, 0, 0, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2, 0,-2, 0, 0,-2,-2, 0,-2, 0,-2, 0,-2, 0,-2, 0, 0, 2, 0,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2, 0,-2, 0,-2,-2, 0,-2, 0,-2,-2, 0, 0, 0, 0,-2, 0, 0, 0, 0, 0,-2,-2, 0, 0,-2,-2, 0, 0, 0,-2, 0,-2, 0,-2, 0,-2, 0, 0, 0, 0,-2,-2,-2,-2, 0,-2, 0,-2,,,
0.250000,0.312500,-2,-2, 2, 0, 0, 0, 0,-2,-2,-2,-2, 0, 0, 2,-2,-2,-2, 0, 2,-2,-2, 2, 0,-2,-2,-2,-2, 0, 0,-2, 2, 0,-2, 0, 0,-2, 0,-2, 2, 0, 0,-2,-2,-2,-2,-2, 2,-2,-2, 0,-2, 0,-2, 0, 2, 2, 2, 0, 2, 0, 2, 0, 2,-2,-2, 2, 0, 0, 0, 0, 2, 2, 2,-2, 2, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 0,-2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0,-2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2,-2, 0, 0, 0, 2,-2, 0,-2, 0, 0, 0, 0, 2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2, 0,-2,-2, 0, 0,-2, 0, 0, 0,-2,-2,-2,-2, 0, 0, 0,-2, 0,-2,-2, 0,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2, 0,-2,-2, 0, 0,-2, 0, 0,-2, 0,-2, 0, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2, 0,-2, 0, 0,-2, 2,-2, 0,-2, 0,-2,-2,-2, 0, 0, 0,-2,-2, 0,-2, 0, 0,-2,-2,-2,-2, 0, 0,-2,-2,-2, 0,-2, 0, 0, 0, 0,-2,-2, 0,-2, 2,-2,-2, 0, 0, 0,-2,-2,-2, 0, 0,-2, 0, 0,-2,-2,-2, 0, 2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0, 0,-2,-2, 2, 0, 0, 0,-2, 2,-2, 0, 0, 0,-2, 0,-2, 0,-2, 0,-2,-2, 0,-2, 2, 0, 0, 0,-2,-2, 2, 2,-2, 2,-2, 2,-2,-2,,,
0.312500,0.375000,-2,-2, 2, 2, 0, 2, 2,-2, 0,-2,-2,-2, 2, 0,-2,-2,-2, 0, 2,-2,-2, 2,-2, 2,-2, 0,-2,-2, 2,-2, 0,-2, 0, 2, 0,-2, 2, 0, 0, 2, 0,-2,-2,-2, 0, 2, 0, 0, 0,-2,-2, 0,-2,-2, 2, 2, 2, 0, 0,-2, 0, 0, 0,-2,-2,-2, 2, 0, 0,-2, 0, 2, 0,-2, 2,-2, 2, 0, 0, 2, 0,-2, 0, 0, 2, 2, 2, 0, 2, 2, 0,-2, 0, 0, 0, 2,-2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2,-2, 2, 0,-2, 2,-2,-2,-2, 2, 0,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2, 2,-2, 0,-2,-2,-2,-2,-2,-2,-2, 0, 0, 0,-2,-2,-2, 0, 0,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2,-2, 0,-2, 2, 0, 0,-2, 0, 0,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,-2,-2, 2,-2,-2,-2,-2,-2, 0,-2, 0, 0,-2,-2,-2,-2, 0,-2, 0,-2, 0,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0, 0, 0,-2,-2, 0, 0, 0,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2,-2, 0, 0,-2, 0, 0,-2, 0, 0, 0, 0, 0,-2,,,
0.375000,0.437500,-2,-2, 0, 0, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2, 0, 0,-2,-2,-2, 2,-2,-2, 2, 0, 0, 0,-2, 0, 0,-2, 0, 0, 0, 0,-2,-2, 0,-2, 0, 0, 2, 0,-2,-2,-2, 0, 0,-2, 2, 2, 0, 2, 0, 0, 0, 2, 2,-2,-2,-2,-2, 0, 0,-2, 2, 0, 0, 2, 2,-2, 2, 2,-2, 2, 2,-2, 0, 2, 0, 0, 2, 0, 2, 2, 2,-2, 2,-2, 0, 2,-2, 0,-2, 2, 2, 2, 0, 0, 0, 2, 2,-2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0,-2, 2, 0,-2, 2,-2, 0, 0, 0, 0, 0, 2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2, 0, 0,-2,-2,-2, 0,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2, 0, 0, 0,-2, 0, 0,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2, 2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2,-2,-2,-2,,,
0.437500,0.500000,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0, 0,-2, 0, 2,-2,-2, 0,-2,-2, 0, 2,-2,-2, 0, 0, 0,-2, 0,-2,-2,-2, 0,-2,-2, 2,-2,-2, 0,-2, 2, 0, 0, 0, 0,-2,-2,-2, 2,-2, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0,-2, 0, 2, 0, 0,-2, 2, 0,-2, 0, 2,-2, 2, 2,-2, 2, 2,-2, 0, 2, 2, 2, 2, 0, 2, 2, 2,-2, 2,-2, 0, 2,-2, 2,-2, 2, 2, 2, 0, 0, 2, 2, 2,-2,-2, 2, 2,-2, 2,-2, 2,-2, 0, 2, 2, 2,-2, 2, 2, 2, 0, 2,-2, 2, 0, 2,-2, 2, 0,-2, 2,-2, 2,-2, 2, 0,-2, 2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2,-2,-2, 2,-2,-2, 0,-2, 0,-2, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,
0.500000,0.562500,-2, 2, 0, 0,-2, 0, 0,-2,-2,-2,-2,-2, 0, 0, 2, 2,-2,-2, 2,-2,-2,-2,-2,-2,-2, 2, 0,-2, 2, 0, 2, 0,-2, 0,-2,-2,-2, 2,-2, 0,-2,-2,-2,-2, 0,-2, 2,-2,-2,-2,-2,-2, 0, 0, 2, 2, 2, 0, 2, 0, 2, 0, 0, 0,-2,-2, 2,-2, 0,-2, 2, 0,-2,-2, 0, 0, 2, 2, 0, 2, 2,-2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2,-2, 0, 2, 0, 2,-2, 0, 2, 0, 2, 2, 2, 0, 2,-2, 0, 0, 0,-2, 0, 0, 2,-2, 0,-2, 0, 2, 2, 0, 0, 2, 2, 2,-2, 2, 0, 2,-2, 2, 2,-2, 2, 2,-2, 0,-2, 0,-2, 2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2, 0, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0, 0,-2,-2, 0,-2,-2,-2,-2,-2,-2, 0,-2, 0, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2, 2,-2, 0,-2,-2,-2, 2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2, 0, 0,-2, 0,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2,-2,-2, 0,-2,-2,-2, 0,-2, 0,-2,-2, 0,-2, 0, 0,-2, 0, 0,-2,-2, 2,-2,-2,-2, 0,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2, 2,-2,-2, 0, 0,-2,-2, 0,-2, 0,-2,-2, 0,-2,-2, 0,-2,-2, 2, 0,-2,-2,-2,-2,,,
0.562500,0.625000, 0, 0, 0, 2, 0, 0, 2, 0,-2, 0, 0, 0, 0,-2, 0, 0,-2, 0, 2, 0,-2, 2, 0,-2,-2, 0,-2,-2, 0,-2, 0, 0,-2, 2, 2, 0, 0, 0, 0, 2, 0,-2,-2, 0, 2, 0, 0,-2, 0,-2, 0, 0, 0,-2, 2, 2, 2, 0, 0, 0, 2,-2, 2, 0,-2, 0, 2,-2, 0, 0, 2, 2, 0, 0, 2,-2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0,-2, 2,-2, 0, 2, 0, 0,-2, 2, 0, 2, 2, 0, 0, 0, 2,-2,-2, 2, 2, 0, 2, 0, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0,-2, 2, 0, 0, 2,-2, 0,-2, 0, 2,-2, 2, 2, 0, 0,-2, 0, 0, 0,-2,-2, 0,-2,-2, 0,-2,-2,-2, 0,-2, 0, 0,-2, 0, 0,-2,-2, 0,-2,-2,-2, 0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, 0,-2,-2, 0, 0,-2, 0, 0, 0,-2,-2,-2, 0,-2, 0,-2, 0, 0,-2,-2,-2, 0,-2,-2,-2,-2, 0,-2,-2,-2,-2, 0,-2, 0,-2,-2,-2,-2,-2, 0, 0,-2, 0, 0, 0,-2, 0, 0, 0,-2, 0,-2, 0,-2, 0, 0, 0,-2, 0, 0, 0,-2,-2, 0, 0, 0,-2,-2, 0, 0,-2,-2,-2, 0, 0, 0, 2, 0, 0,-2,-2,-2, 0,-2, 0, 0,-2, 0,-2,-2,-2, 0,-2, 0, 0, 0, 0,-2,-2, 2, 0,-2, 0, 0,-2, 0, 0, 0, 0, 0, 0, 0,-2, 0, 0, 0,-2, 0, 0,-2, 0, 0,-2,-2,-2,-2, 0, 0,-2, 0, 0, 0, 2,-2,-2, 2, 0,-2, 0, 0, 0, 2, 0,,,
